tender_id,source,source_url,source_date,announcement_date,tender_result_date,buyer_institution,tender_authority,tender_name,product_group,product_name,brand_name,region,quantity,unit,contract_value_try,contract_value_vat_excluded_try,winning_company,result,notes,extraction_confidence
KAP-1609240,KAP,https://www.kap.org.tr/tr/Bildirim/1609240,2026-05-20,2026-05-20,2026-05-20,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,97612104.63,97612104.63,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 97.612.104,63 TL + KDV | Group tender party: ESNAF ECZA DEPOSU ANONİM ŞİRKETİ | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 97.612.104,63 TL + KDV tutarla grup şirketimiz uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1609239,KAP,https://www.kap.org.tr/tr/Bildirim/1609239,2026-05-20,2026-05-20,2026-05-20,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,133731106.87,133731106.87,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 133.731.106,87 TL + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 133.731.106,87 TL + KDV tutarla grup şirketimiz uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1576107,KAP,https://www.kap.org.tr/tr/Bildirim/1576107,2026-03-26,2026-03-26,2026-03-26,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,96693252.84,96693252.84,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 96.693.252,84 TL + KDV | Group tender party: ESNAF ECZA DEPOSU ANONİM ŞİRKETİ | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 96.693.252,84 TL + KDV tutarla grup şirketimiz uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1560330,KAP,https://www.kap.org.tr/tr/Bildirim/1560330,2026-02-23,2026-02-23,2026-02-23,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,204881355.17,204881355.17,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 204.881.355,17 + KDV | Group tender party: ESNAF ECZA DEPOSU ANONİM ŞİRKETİ | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 204.881.355,17 + KDV tutarla grup şirketimiz uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1527943,KAP,https://www.kap.org.tr/tr/Bildirim/1527943,2025-12-19,2025-12-19,2025-12-19,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,209556449.52,209556449.52,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 209.556.449,52 TL + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 209.556.449,52 TL + KDV tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1497979,KAP,https://www.kap.org.tr/tr/Bildirim/1497979,2025-10-07,2025-10-07,2025-10-07,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,25309121.68,25309121.68,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 25.309.121,68 TL + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS ve KEMOTRON markası ile 25.309.121,68 TL + KDV tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1497977,KAP,https://www.kap.org.tr/tr/Bildirim/1497977,2025-10-07,2025-10-07,2025-10-07,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,438831591.5,438831591.5,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 438.831.591,50 TL+KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 438.831.591,50 TL+KDV tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1477231,KAP,https://www.kap.org.tr/tr/Bildirim/1477231,2025-08-13,2025-08-13,2025-08-13,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,249264924.28,249264924.28,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 249.264.924,28 TL+ KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 249.264.924,28 TL + KDV tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1456068,KAP,https://www.kap.org.tr/tr/Bildirim/1456068,2025-07-04,2025-07-04,2025-07-04,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,7674899.1,7674899.1,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 7.674.899,10 TL + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 7.674.899,10 TL+KDV tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1453191,KAP,https://www.kap.org.tr/tr/Bildirim/1453191,2025-06-30,2025-06-30,2025-06-30,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü E-I Nolu İhale Şube Müdürlüğü (IV Nolu) Satınalma Daire Başkanlığı,Sağlık Market Alım İhalesi,Medical supply / Sağlık Market,,TURKFLEKS,Turkey,,,170285745.15,170285745.15,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 170.285.745,15 + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü E I Nolu İhale Şube Müdürlüğü 4 Nolu Satınalma Daire Başkanlığı tarafından açılan Sağlık Market Alım İhalesi TURKFLEKS markası ile 170.285.745,15+KDV tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
