tender_id,tender_name,buyer_institution,procurement_type,procedure_type,location,tender_date,result_status,winning_company,contract_value_try,estimated_cost_try,contract_date,highest_bid_try,lowest_bid_try,termination_status,transfer_status,item_details_available,item_name,quantity,unit,item_contract_value_try,item_unit_price_try,source_url,source_type,notes,extraction_confidence
2026/1000652,Güneysu Çay Fabrikası Müdürlüğü -100 Yıl Paketleme Fabrikası Müdürlüğü (Big Bag Torbalı Kuruçay Nakliye İhalesi),ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ GÜNEYSU ULUCAMİ ÇAY FABRİKASI MÜDÜRLÜĞÜ,Hizmet,4734 / 3-g,RİZE,2026-06-05,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,688000.0,688000.0,2026-06-10,688000.0,688000.0,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_1000652,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978880,YAŞ ÇAY NAKLİYE HİZMET ALIM İŞİ,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ(ÇAYKUR) Salarha Çay Fabrikası,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,12883015.0,,2026-05-26,12883015.0,12883015.0,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978880,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978948,2026 YILI YAŞ ÇAY NAKLİYE HİZMET İHALESİ,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ(ÇAYKUR) Ulucami Çay Fabrikası,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,24982603.8,,2026-05-26,24982603.8,24982603.8,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978948,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978949,2026 yılı yaş çay nakliye ihalesi,TERSANE ÇAY FABRİKASI MÜDÜRLÜĞÜ,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,7921313.4,,2026-05-26,7921313.4,7921313.4,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978949,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978904,2026 YILI YAŞ ÇAY NAKLİYE HİZMET ALIM İHALESİ,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ(ÇAYKUR) Veliköy Çay Fabrikası,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,10707000.0,10800000.0,2026-05-26,10707000.0,10707000.0,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978904,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978958,YAŞ ÇAY NAKLİYESİ HİZMET ALIMI,PAZARKÖY ÇAY FABRİKASI MÜDÜRLÜĞÜ,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,3830085.6,,2026-05-26,3830085.6,3830085.6,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978958,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978946,2026 Yılı Yaş Çay Nakliyesi İçin Hizmet Alım İşi,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ(ÇAYKUR) Kendirli Çay Fabrikası,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,7399029.0,,2026-05-26,7399029.0,7399029.0,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978946,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978907,2026 Yılı Yaş Çay Nakliye İhalesi,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ(ÇAYKUR) Derepazarı Çay Fabrikası,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,4352370.0,,2026-05-26,4352370.0,4352370.0,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978907,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/978944,2026 Yılı Yaş Çay Nakliyesi Hizmet Alım İhalesi,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ(ÇAYKUR) Selimiye Çay Fabrikası,Hizmet,4734 / 3-g,RİZE,2026-05-26,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,9227024.4,6957471.0,2026-05-26,9227024.4,9227024.4,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_978944,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/969755,2026 YILI YAŞ ÇAY NAKLİYE HİZMET ALIM İHALESİ,AZAKLI ÇAY FABRİKASI MÜDÜRLÜĞÜ,Hizmet,4734 / 3-g,RİZE,2026-05-22,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,5396938.08,,2026-05-26,5396938.08,5396938.08,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_969755,EKAP completed tender detail,Official EKAP v2 detail response.,high
2026/952626,2026 Yılı Yaş Çay Kampanyası Yaş Çay Nakliye İhalesi,ÇAY İŞLETMELERİ GENEL MÜDÜRLÜĞÜ KALECİK ÇAY FABRİKASI MÜDÜRLÜĞÜ,Hizmet,4734 / 3-g,RİZE,2026-05-21,Sonuç İlanı Yayımlanmış,S.S.RİZE 3 NOLU MOTORLU TAŞIYICILAR KOOP,5883007.0,,2026-05-25,5883007.0,5883007.0,Yok,Yok,False,,,,,,https://ekapv2.kik.gov.tr/ekap/search/2026_952626,EKAP completed tender detail,Official EKAP v2 detail response.,high
