record_type,company_name,tender_id,year,tender_date,contract_date,buyer_institution,city,region,procurement_type,procedure_type,tender_title,product_group,product_name,unit,quantity,delivery_months,competitor_count_estimate,estimated_unit_cost_try,estimated_total_cost_try,winning_unit_price_try,contract_value_try,internal_unit_cost_try,gross_margin_pct,gross_profit_try,discount_to_estimated_cost_pct,cpi_factor_to_2025,sector_price_factor_to_2025,inflation_adjusted_unit_price_2025_try,inflation_adjusted_contract_value_2025_try,cpi_factor_to_2026,inflation_adjusted_unit_price_2026_try,inflation_adjusted_contract_value_2026_try,result,strategic_fit_score,data_note
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0001,2021,2021-02-07,2021-04-05,Bursa Şehir Hastanesi,Bursa,Marmara,Mal,Açık İhale,%0.9 NaCl 1000 ml Alımı,IV Solution,%0.9 NaCl 1000 ml,adet,53715,12,3,13.73,737684.9,11.99,643909.24,9.17,23.54,151581.57,12.71,5.1151,3.6748,44.05,2366237.69,5.9647,71.52,3840725.44,Kazandı,66.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0002,2021,2020-12-17,2021-01-01,Gaziantep Kamu Hastaneleri Birliği,Gaziantep,Güneydoğu Anadolu,Mal,Açık İhale,%0.9 NaCl 1000 ml Alımı,IV Solution,%0.9 NaCl 1000 ml,adet,31687,6,3,12.34,391041.29,9.97,315855.65,8.33,16.47,52007.43,19.23,5.1151,3.6748,36.63,1160706.36,5.9647,59.47,1883984.2,Kazandı,50.9,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0003,2021,2021-03-03,2021-04-23,Ankara Belediye Sağlık İşleri Müdürlüğü,Ankara,İç Anadolu,Mal,Pazarlık (MD 21 F),%10 Dekstroz 500 ml Alımı,IV Solution,%10 Dekstroz 500 ml,adet,943846,6,2,10.66,10058694.01,9.09,8582861.76,7.26,20.15,1729704.85,14.67,5.1151,3.6748,33.42,31540300.41,5.9647,54.22,51194195.54,Kazandı,74.9,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0004,2021,2021-09-29,2021-10-09,Adana Askeri Hastane,Adana,Akdeniz,Mal,Açık İhale,Sodyum Bikarbonat Ampul 10 ml Alımı,Injectable,Sodyum Bikarbonat Ampul 10 ml,adet,111423,9,4,6.02,670260.06,5.23,582386.65,4.29,17.89,104166.81,13.11,5.1151,3.6748,19.21,2140154.47,5.9647,31.2,3473761.65,Kazandı,60.7,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0005,2021,2021-04-12,2021-05-05,Mardin Ağız ve Diş Sağlığı Merkezi,Mardin,Güneydoğu Anadolu,Mal,Pazarlık (MD 21 B),%5 Dekstroz 500 ml Alımı,IV Solution,%5 Dekstroz 500 ml,adet,260472,6,4,9.37,2439701.97,8.57,2233546.4,6.29,26.65,595333.7,8.45,5.1151,3.6748,31.51,8207836.32,5.9647,51.12,13322434.21,Kazandı,63.9,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0006,2021,2021-01-11,2021-02-12,İstanbul Kamu Hastaneleri Birliği,İstanbul,Marmara,Mal,Çerçeve Anlaşma,Steril Su 500 ml Alımı,IV Solution,Steril Su 500 ml,adet,248683,3,2,7.26,1804833.33,5.89,1464033.58,5.21,11.43,167305.76,18.88,5.1151,3.6748,21.63,5380030.59,5.9647,35.13,8732521.09,Kazandı,66.0,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0007,2021,2021-08-01,2021-09-04,İzmir Askeri Hastane,İzmir,Ege,Mal,Açık İhale,Periton Diyaliz Solüsyonu 2000 ml Alımı,Special Solution,Periton Diyaliz Solüsyonu 2000 ml,adet,20360,12,6,44.86,913296.78,39.02,794362.95,29.2,25.17,199932.64,13.02,5.1151,3.6748,143.38,2919124.98,5.9647,232.74,4738136.69,Kazandı,70.3,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0008,2021,2021-08-13,2021-10-07,Ordu Ağız ve Diş Sağlığı Merkezi,Ordu,Karadeniz,Mal,Pazarlık (MD 21 B),%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,357745,12,2,9.38,3354318.75,8.54,3054514.75,5.85,31.5,962274.11,8.94,5.1151,3.6748,31.38,11224730.82,5.9647,50.94,18219264.13,Kazandı,74.4,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0009,2021,2021-02-04,2021-02-28,Kocaeli Üniversite Hastanesi,Kocaeli,Marmara,Mal,Pazarlık (MD 21 B),%0.9 NaCl 500 ml Alımı,IV Solution,%0.9 NaCl 500 ml,adet,379626,6,3,7.78,2954469.74,6.92,2627684.43,5.37,22.38,588010.3,11.06,5.1151,3.6748,25.44,9656214.73,5.9647,41.28,15673349.32,Kazandı,68.6,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
synthetic_demo,X İlaç Şirketi (Synthetic),SYN-XIL-2021-0010,2021,2021-10-25,2021-11-27,Mersin Askeri Hastane,Mersin,Akdeniz,Mal,Doğrudan Temin,%0.9 NaCl 1000 ml Alımı,IV Solution,%0.9 NaCl 1000 ml,adet,32022,12,6,15.71,502979.94,13.22,423468.21,9.24,30.15,127672.38,15.81,5.1151,3.6748,48.6,1556160.97,5.9647,78.85,2525860.83,Kazandı,72.1,Synthetic demo row generated from researched inflation/regulatory assumptions; not an actual X İlaç Şirketi tender.
